,SN,date,y_fut,predicted,total
2020-05-01,1,2020-05-01,,14501.128852681402,10118.0
2020-05-02,2,2020-05-02,,14475.132432139102,10551.0
2020-05-03,3,2020-05-03,,14440.057729835966,10843.0
2020-05-04,4,2020-05-04,,14401.767159489484,11192.0
2020-05-05,5,2020-05-05,,14365.648328132898,11587.0
2020-05-06,6,2020-05-06,,14336.635309262503,12071.0
2020-05-07,7,2020-05-07,,14319.229391549236,12438.0
2020-05-08,8,2020-05-08,,14317.519308776627,12776.0
2020-05-09,9,2020-05-09,,14335.20095666711,13112.0
2020-05-10,10,2020-05-10,,14375.59660225878,13645.0
2020-05-11,11,2020-05-11,,14441.673591494624,14032.0
2020-05-12,12,2020-05-12,,14536.062560686252,14265.0
2020-05-13,13,2020-05-13,,14661.075157514217,14749.0
2020-05-14,14,2020-05-14,,14818.72127722691,15438.0
2020-05-15,15,2020-05-15,,15010.725819700137,16006.0
2020-05-16,16,2020-05-16,,15238.544973019361,16496.0
2020-05-17,17,2020-05-17,,15503.382029246708,17025.0
2020-05-18,18,2020-05-18,,15806.202738034735,17514.0
2020-05-19,19,2020-05-19,,16147.750203749038,18010.0
2020-05-20,20,2020-05-20,,16528.55933176172,18496.0
2020-05-21,21,2020-05-21,,16948.970829577804,19189.0
2020-05-22,22,2020-05-22,,17409.144768456554,20162.0
2020-05-23,23,2020-05-23,,17909.07371118984,20796.0
2020-05-24,24,2020-05-24,,18448.59541169955,21745.0
2020-05-25,25,2020-05-25,,19027.405092116074,22271.0
2020-05-26,26,2020-05-26,,19645.067302999916,22750.0
2020-05-27,27,2020-05-27,,20301.02737236856,23165.0
2020-05-28,28,2020-05-28,,20994.622449190443,23851.0
2020-05-29,29,2020-05-29,,21725.092147008287,24538.0
2020-05-30,30,2020-05-30,,22491.588793353716,25216.0
2020-05-31,31,2020-05-31,,23293.18729061525,25773.0
2020-06-01,32,2020-06-01,,24128.89459402163,26473.0
2020-06-02,33,2020-06-02,,24997.658812402668,26940.0
2020-06-03,34,2020-06-03,,25898.37793738961,27549.0
2020-06-04,35,2020-06-04,,26829.90820671688,28233.0
2020-06-05,36,2020-06-05,,27791.072107287575,28818.0
2020-06-06,37,2020-06-06,,28780.666023664497,29521.0
2020-06-07,38,2020-06-07,,29797.467537648838,30514.0
2020-06-08,39,2020-06-08,,30840.24238460869,31186.0
2020-06-09,40,2020-06-09,,31907.751072219064,32033.0
2020-06-10,41,2020-06-10,,32998.75516727609,33076.0
2020-06-11,42,2020-06-11,,34112.02325624655,34316.0
2020-06-12,43,2020-06-12,,35246.33658521595,35295.0
2020-06-13,44,2020-06-13,,36400.49438489582,36406.0
2020-06-14,45,2020-06-14,,37573.318886353474,37420.0
2020-06-15,46,2020-06-15,,38763.66003312572,38277.0
2020-06-16,47,2020-06-16,,39970.399895378476,39294.0
2020-06-17,48,2020-06-17,,41192.456791774486,40400.0
2020-06-18,49,2020-06-18,,42428.789124711504,41431.0
2020-06-19,50,2020-06-19,,43678.398934592435,42762.0
2020-06-20,51,2020-06-20,,44940.33517878936,43803.0
2020-06-21,52,2020-06-21,,46213.69674096469,45029.0
2020-06-22,53,2020-06-22,,47497.63517640997,45891.0
2020-06-23,54,2020-06-23,,48791.35719906521,46845.0
2020-06-24,55,2020-06-24,,50094.126915880974,47896.0
2020-06-25,56,2020-06-25,,51405.267814184306,49009.0
2020-06-26,57,2020-06-26,,52724.1645077116,50187.0
2020-06-27,58,2020-06-27,,54050.26424696989,51427.0
2020-06-28,59,2020-06-28,,55383.07819958939,52812.0
2020-06-29,60,2020-06-29,,56722.18250632682,54010.0
2020-06-30,61,2020-06-30,,58067.219118385925,55092.0
2020-07-01,62,2020-07-01,,59417.896421712416,56385.0
2020-07-02,63,2020-07-02,,60773.98965392937,57770.0
2020-07-03,64,2020-07-03,,62135.341119572695,59394.0
2020-07-04,65,2020-07-04,,63501.860209289414,60695.0
2020-07-05,66,2020-07-05,,64873.52322866063,62142.0
2020-07-06,67,2020-07-06,,66250.37304231286,63749.0
2020-07-07,68,2020-07-07,,67632.51853897591,64958.0
2020-07-08,69,2020-07-08,,69020.13392315438,66226.0
2020-07-09,70,2020-07-09,,70413.45783907018,68079.0
2020-07-10,71,2020-07-10,,71812.79233254184,70736.0
2020-07-11,72,2020-07-11,,73218.50165645924,72347.0
2020-07-12,73,2020-07-12,,74631.01092551934,74018.0
2020-07-13,74,2020-07-13,,76050.8046258819,75699.0
2020-07-14,75,2020-07-14,,77478.42498540907,76981.0
2020-07-15,76,2020-07-15,,78914.47021014948,78572.0
2020-07-16,77,2020-07-16,,80359.59259273234,80094.0
2020-07-17,78,2020-07-17,,81814.49649832671,81668.0
2020-07-18,79,2020-07-18,,83279.93623383617,83130.0
2020-07-19,80,2020-07-19,,84756.71380598441,84882.0
2020-07-20,81,2020-07-20,,86245.67657395866,86521.0
2020-07-21,82,2020-07-21,,87747.71480226883,88214.0
2020-07-22,83,2020-07-22,,89263.75911948545,89869.0
2020-07-23,84,2020-07-23,,90794.77788852382,91751.0
2020-07-24,85,2020-07-24,,92341.77449412755,93657.0
2020-07-25,86,2020-07-25,,93905.78455321741,95418.0
2020-07-26,87,2020-07-26,,95487.87305377278,97286.0
2020-07-27,88,2020-07-27,,97089.13142789825,98778.0
2020-07-28,89,2020-07-28,,98710.67456474475,100303.0
2020-07-29,90,2020-07-29,,100353.6377689435,102051.0
2020-07-30,91,2020-07-30,,102019.17367021594,104432.0
2020-07-31,92,2020-07-31,,103708.449089823,106336.0
2020-08-01,93,2020-08-01,,105422.6418695121,108376.0
2020-08-02,94,2020-08-02,,107162.93766862823,109936.0
2020-08-03,95,2020-08-03,,108930.52673505264,111455.0
2020-08-04,96,2020-08-04,,110726.60065561504,113134.0
2020-08-05,97,2020-08-05,,112552.34909167251,115056.0
2020-08-06,98,2020-08-06,,114408.9565054804,116871.0
2020-08-07,99,2020-08-07,,116297.59888305393,118753.0
2020-08-08,100,2020-08-08,,118219.44045914448,121226.0
2020-08-09,101,2020-08-09,,120175.63045002864,123503.0
2020-08-10,102,2020-08-10,,122167.29979974887,125396.0
2020-08-11,103,2020-08-11,,124195.55794547283,127083.0
2020-08-12,104,2020-08-12,,126261.48960764118,128776.0
2020-08-13,105,2020-08-13,,128366.15161055437,130718.0
2020-08-14,106,2020-08-14,,130510.56973906764,132816.0
2020-08-15,107,2020-08-15,,132695.73563705635,135123.0
2020-08-16,108,2020-08-16,,134922.60375331406,137468.0
2020-08-17,109,2020-08-17,,137192.08834053547,139549.0
2020-08-18,110,2020-08-18,,139505.0605130649,141370.0
2020-08-19,111,2020-08-19,,141862.34536904813,143043.0
2020-08-20,112,2020-08-20,,144264.71918267914,144945.0
2020-08-21,113,2020-08-21,,146712.9066721766,147211.0
2020-08-22,114,2020-08-22,,149207.57834916533,149408.0
2020-08-23,115,2020-08-23,,151749.34795512416,151498.0
2020-08-24,116,2020-08-24,,154338.76999056683,153535.0
2020-08-25,117,2020-08-25,,156976.33734259353,155412.0
2020-08-26,118,2020-08-26,,159662.47901651793,157859.0
2020-08-27,119,2020-08-27,,162397.55797719368,160165.0
2020-08-28,120,2020-08-28,,165181.86910570756,162884.0
2020-08-29,121,2020-08-29,,168015.63727714,165887.0
2020-08-30,122,2020-08-30,,170899.01556498435,169195.0
2020-08-31,123,2020-08-31,,173832.08357796603,172053.0
2020-09-01,124,2020-09-01,,176814.84593485453,174796.0
2020-09-02,125,2020-09-02,,179847.23088298895,177571.0
2020-09-03,126,2020-09-03,,182929.0890661177,180646.0
2020-09-04,127,2020-09-04,,186060.19244728208,184268.0
2020-09-05,128,2020-09-05,,189240.23339235567,187537.0
2020-09-06,129,2020-09-06,,192468.8239199032,190665.0
2020-09-07,130,2020-09-07,,195745.495123062,194109.0
2020-09-08,131,2020-09-08,,199069.69676907145,196989.0
2020-09-09,132,2020-09-09,,202440.79708210536,200035.0
2020-09-10,133,2020-09-10,,205858.08271512174,203342.0
2020-09-11,134,2020-09-11,,209320.75891631254,207203.0
2020-09-12,135,2020-09-12,,212827.94989589386,210940.0
2020-09-13,136,2020-09-13,,216378.6993988526,214757.0
2020-09-14,137,2020-09-14,,219971.971489323,218382.0
2020-09-15,138,2020-09-15,,223606.6515522559,221523.0
2020-09-16,139,2020-09-16,,227281.54751803138,225030.0
2020-09-17,140,2020-09-17,,230995.39131570765,228993.0
2020-09-18,141,2020-09-18,,234746.840560544,232628.0
2020-09-19,142,2020-09-19,,238534.48048143805,236519.0
2020-09-20,143,2020-09-20,,242356.82609400683,240687.0
2020-09-21,144,2020-09-21,,246212.32462489017,244676.0
2020-09-22,145,2020-09-22,,250099.35819302656,248852.0
2020-09-23,146,2020-09-23,,254016.24675347068,252923.0
2020-09-24,147,2020-09-24,,257961.25130948581,257388.0
2020-09-25,148,2020-09-25,,261932.57739855506,262022.0
2020-09-26,149,2020-09-26,,265928.37885794573,266845.0
2020-09-27,150,2020-09-27,,269946.76187553786,271339.0
2020-09-28,151,2020-09-28,,273985.7893315197,275213.0
2020-09-29,152,2020-09-29,,278043.48543667205,278722.0
2020-09-30,153,2020-09-30,,282117.84067285963,282724.0
2020-10-01,154,2020-10-01,,286206.81704139867,287008.0
2020-10-02,155,2020-10-02,,290308.35362500855,291182.0
2020-10-03,156,2020-10-03,,294420.37246892386,295499.0
2020-10-04,157,2020-10-04,,298540.7847869263,299506.0
2020-10-05,158,2020-10-05,,302667.497497847,303498.0
2020-10-06,159,2020-10-06,,306798.4200983436,307120.0
2020-10-07,160,2020-10-07,,310931.4718774573,311176.0
2020-10-08,161,2020-10-08,,315064.58947875135,315714.0
2020-10-09,162,2020-10-09,,319195.7348155656,320564.0
2020-10-10,163,2020-10-10,,323322.9033452102,324658.0
2020-10-11,164,2020-10-11,,327444.1327075378,328952.0
2020-10-12,165,2020-10-12,,331557.511733798,333449.0
2020-10-13,166,2020-10-13,,335661.18983127334,336716.0
2020-10-14,167,2020-10-14,,339753.386749366,340622.0
2020-10-15,168,2020-10-15,,343832.4027329252,344749.0
2020-10-16,169,2020-10-16,,347896.6290683464,349160.0
2020-10-17,170,2020-10-17,,351944.55902808317,353461.0
2020-10-18,171,2020-10-18,,355974.79921944597,357762.0
2020-10-19,172,2020-10-19,,359986.0813430489,361867.0
2020-10-20,173,2020-10-20,,363977.2743668274,365240.0
2020-10-21,174,2020-10-21,,367947.3971211479,368842.0
2020-10-22,175,2020-10-22,,371895.63132066437,373109.0
2020-10-23,176,2020-10-23,,375821.3350186811,377541.0
2020-10-24,177,2020-10-24,,379724.05649962433,381910.0
2020-10-25,178,2020-10-25,,383603.54861525603,385980.0
2020-10-26,179,2020-10-26,,387459.7835703061,389712.0
2020-10-27,180,2020-10-27,,391292.9681633205,392934.0
2020-10-28,181,2020-10-28,,395103.559488082,396454.0
2020-10-29,182,2020-10-29,,398892.2811016009,400483.0
2020-10-30,183,2020-10-30,,402660.1396641598,404048.0
2020-10-31,184,2020-10-31,,406408.44205706724,406945.0
2020-11-01,185,2020-11-01,,410138.8129838348,410088.0
2020-11-02,186,2020-11-02,,413853.2130604551,412784.0
2020-11-03,187,2020-11-03,,417553.95740035333,415402.0
2020-11-04,188,2020-11-04,,421243.73469977983,418375.0
2020-11-05,189,2020-11-05,,424925.626829283,421731.0
2020-11-06,190,2020-11-06,,428603.1289367766,425796.0
2020-11-07,191,2020-11-07,,432280.1700681687,429574.0
2020-11-08,192,2020-11-08,,435961.1343108506,433836.0
2020-11-09,193,2020-11-09,,439650.8824661166,437716.0
2020-11-10,194,2020-11-10,,443354.7742556126,440569.0
2020-11-11,195,2020-11-11,,447078.6910681517,444348.0
2020-11-12,196,2020-11-12,,450829.0592520774,448118.0
2020-11-13,197,2020-11-13,,454612.8739589543,452291.0
2020-11-14,198,2020-11-14,,458437.7235442937,457735.0
2020-11-15,199,2020-11-15,,462311.8145309181,463007.0
2020-11-16,200,2020-11-16,,466243.9971408636,467113.0
2020-11-17,201,2020-11-17,,470243.79140097805,470648.0
2020-11-18,202,2020-11-18,,474321.4138283969,474455.0
2020-11-19,203,2020-11-19,,478487.8047012628,478720.0
2020-11-20,204,2020-11-20,,482754.65592055925,483518.0
2020-11-21,205,2020-11-21,,487134.4394682289,488310.0
2020-11-22,206,2020-11-22,,491640.436468193,493308.0
2020-11-23,207,2020-11-23,,496286.76685471245,497668.0
2020-11-24,208,2020-11-24,,501088.419654885,502110.0
2020-11-25,209,2020-11-25,,506061.28389012226,506302.0
2020-11-26,210,2020-11-26,,511222.1801027746,511836.0
2020-11-27,211,2020-11-27,511222.0,,
2020-11-28,212,2020-11-28,516588.0,,
2020-11-29,213,2020-11-29,522180.0,,
2020-11-30,214,2020-11-30,528015.0,,
2020-12-01,215,2020-12-01,534116.0,,
2020-12-02,216,2020-12-02,540505.0,,
2020-12-03,217,2020-12-03,547203.0,,
2020-12-04,218,2020-12-04,554237.0,,
2020-12-05,219,2020-12-05,561630.0,,
2020-12-06,220,2020-12-06,569410.0,,
2020-12-07,221,2020-12-07,577605.0,,
2020-12-08,222,2020-12-08,586245.0,,
2020-12-09,223,2020-12-09,595359.0,,
2020-12-10,224,2020-12-10,604980.0,,
2020-12-11,225,2020-12-11,615142.0,,
2020-12-12,226,2020-12-12,625879.0,,
2020-12-13,227,2020-12-13,637228.0,,
2020-12-14,228,2020-12-14,649228.0,,
2020-12-15,229,2020-12-15,661917.0,,
2020-12-16,230,2020-12-16,675338.0,,
2020-12-17,231,2020-12-17,689533.0,,
2020-12-18,232,2020-12-18,704547.0,,
2020-12-19,233,2020-12-19,720428.0,,
2020-12-20,234,2020-12-20,737222.0,,
2020-12-21,235,2020-12-21,754981.0,,
2020-12-22,236,2020-12-22,773757.0,,
2020-12-23,237,2020-12-23,793605.0,,
2020-12-24,238,2020-12-24,814580.0,,
2020-12-25,239,2020-12-25,836741.0,,
2020-12-26,240,2020-12-26,860148.0,,
